Threshold,Alerts,Alert_%,Precision,Recall,F1
0.5,1336,24.695009242144177,0.2597305389221557,0.6857707509881423,0.3767643865363735
0.51,1166,21.55268022181146,0.28130360205831906,0.6482213438735178,0.3923444976076555
0.52,1043,19.279112754158962,0.286673058485139,0.5909090909090909,0.38605551969012264
0.53,893,16.506469500924215,0.3023516237402016,0.5335968379446641,0.38598999285203717
0.54,739,13.65988909426987,0.33152909336941816,0.4841897233201581,0.39357429718875503
0.55,613,11.33086876155268,0.34094616639477976,0.41304347826086957,0.3735478105451296
0.56,485,8.964879852125692,0.3649484536082474,0.34980237154150196,0.35721493440968716
0.57,384,7.09796672828096,0.3802083333333333,0.2885375494071146,0.32808988764044944
0.58,278,5.138632162661738,0.38848920863309355,0.2134387351778656,0.2755102040816326
0.59,209,3.8632162661737524,0.4019138755980861,0.16600790513833993,0.23496503496503496
0.6,134,2.476894639556377,0.44029850746268656,0.116600790513834,0.184375
0.61,79,1.4602587800369686,0.45569620253164556,0.07114624505928854,0.12307692307692308
0.62,52,0.9611829944547136,0.46153846153846156,0.04743083003952569,0.08602150537634409
0.63,37,0.6839186691312384,0.43243243243243246,0.03162055335968379,0.058931860036832415
0.64,22,0.4066543438077634,0.2727272727272727,0.011857707509881422,0.022727272727272728
0.65,16,0.29574861367837335,0.0,0.0,0.0
